"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,Alpha,ALPH,,Abundance,,,,EL,W,,ALPH-0001,,
,Alpha,ALPH,,"Accursed Albatross",,,,EX,W,,ALPH-0002,,
,Alpha,ALPH,,"Adept Illusionist",,,,EL,W,,ALPH-0003,,
,Alpha,ALPH,,"Albespine Pikemen",,,,EX,E,,ALPH-0004,,
,Alpha,ALPH,,"All-terrain Vestments",,,,EL,0,,ALPH-0005,,
,Alpha,ALPH,,"Alvalinne Dryads",,,,O,E,,ALPH-0006,,
,Alpha,ALPH,,"Amazon Warriors",,,,O,E,,ALPH-0007,,
,Alpha,ALPH,,"Amazon Warriors (Preconstructed Deck)",,,,O,E,,ALPH-0398,,
,Alpha,ALPH,,"Amethyst Core",,,,UN,0,,ALPH-0008,,
,Alpha,ALPH,,"Ancient Dragon",,,,EL,F,,ALPH-0009,,
,Alpha,ALPH,,"Ancient Dragon (Preconstructed Deck)",,,,EL,F,,ALPH-0399,,
,Alpha,ALPH,,"Angel's Egg",,,,EL,0,,ALPH-0010,,
,Alpha,ALPH,,"Anui Undine",,,,EX,W,,ALPH-0011,,
,Alpha,ALPH,,"Anui Undine (Preconstructed Deck)",,,,EX,W,,ALPH-0400,,
,Alpha,ALPH,,"Apprentice Wizard",,,,O,A,,ALPH-0012,,
,Alpha,ALPH,,"Apprentice Wizard (Preconstructed Deck)",,,,O,A,,ALPH-0401,,
,Alpha,ALPH,,"Aquamarine Core",,,,UN,0,,ALPH-0013,,
,Alpha,ALPH,,Aqueduct,,,,EX,0,,ALPH-0014,,
,Alpha,ALPH,,"Aramos Mercenaries",,,,O,F,,ALPH-0015,,
,Alpha,ALPH,,"Arid Desert",,,,O,F,,ALPH-0016,,
,Alpha,ALPH,,"Arid Desert (Preconstructed Deck)",,,,O,F,,ALPH-0402,,
,Alpha,ALPH,,"Askelon Phoenix",,,,EL,F,,ALPH-0017,,
,Alpha,ALPH,,"Assorted Animals",,,,EL,E,,ALPH-0018,,
,Alpha,ALPH,,"Astral Alcazar",,,,EL,0,,ALPH-0019,,
,Alpha,ALPH,,"Atlantean Fate",,,,UN,W,,ALPH-0020,,
,Alpha,ALPH,,"Atlas Wanderers",,,,EL,E,,ALPH-0021,,
,Alpha,ALPH,,"Autumn River",,,,O,W,,ALPH-0022,,
,Alpha,ALPH,,"Autumn River (Preconstructed Deck)",,,,O,W,,ALPH-0403,,
,Alpha,ALPH,,"Autumn Unicorn",,,,EX,E,,ALPH-0023,,
,Alpha,ALPH,,"Autumn Unicorn (Preconstructed Deck)",,,,EX,E,,ALPH-0404,,
,Alpha,ALPH,,"Avatar of Air (Preconstructed Deck)",,,,EL,A,,ALPH-0405,,
,Alpha,ALPH,,"Avatar of Earth (Preconstructed Deck)",,,,EL,E,,ALPH-0406,,
,Alpha,ALPH,,"Avatar of Fire (Preconstructed Deck)",,,,EL,F,,ALPH-0407,,
,Alpha,ALPH,,"Avatar of Water (Preconstructed Deck)",,,,EL,W,,ALPH-0408,,
,Alpha,ALPH,,"Awakened Mummies",,,,EX,F,,ALPH-0024,,
,Alpha,ALPH,,"Azuridge Caravan",,,,O,F,,ALPH-0025,,
,Alpha,ALPH,,Backstab,,,,EX,F,,ALPH-0026,,
,Alpha,ALPH,,"Bane Widow",,,,EX,F,,ALPH-0027,,
,Alpha,ALPH,,"Battering Ram",,,,EX,0,,ALPH-0028,,
,Alpha,ALPH,,Battlefield,,,,EL,0,,ALPH-0029,,
,Alpha,ALPH,,Battlemage,,,,EL,0,,ALPH-0030,,
,Alpha,ALPH,,"Beast of Burden",,,,O,F,,ALPH-0031,,
,Alpha,ALPH,,Bedrock,,,,EX,E,,ALPH-0032,,
,Alpha,ALPH,,Belfry,,,,EL,0,,ALPH-0033,,
,Alpha,ALPH,,"Belmotte Longbowmen",,,,O,E,,ALPH-0034,,
,Alpha,ALPH,,"Belmotte Longbowmen (Preconstructed Deck)",,,,O,E,,ALPH-0409,,
,Alpha,ALPH,,"Black Obelisk",,,,EL,0,,ALPH-0035,,
,Alpha,ALPH,,"Blasted Oak",,,,UN,0,,ALPH-0036,,
,Alpha,ALPH,,Blaze,,,,EX,F,,ALPH-0037,,
,Alpha,ALPH,,"Blaze (Preconstructed Deck)",,,,EX,F,,ALPH-0410,,
,Alpha,ALPH,,Blink,,,,O,A,,ALPH-0038,,
,Alpha,ALPH,,"Blink (Preconstructed Deck)",,,,O,A,,ALPH-0411,,
,Alpha,ALPH,,Blizzard,,,,O,W,,ALPH-0039,,
,Alpha,ALPH,,"Blood Ravens",,,,O,A,,ALPH-0040,,
,Alpha,ALPH,,Boil,,,,O,F,,ALPH-0041,,
,Alpha,ALPH,,"Bone Rabble",,,,O,E,,ALPH-0042,,
,Alpha,ALPH,,Boneyard,,,,UN,0,,ALPH-0043,,
,Alpha,ALPH,,"Border Militia",,,,O,E,,ALPH-0044,,
,Alpha,ALPH,,"Bosk Troll",,,,O,E,,ALPH-0045,,
,Alpha,ALPH,,"Bottomless Pit",,,,EL,0,,ALPH-0046,,
,Alpha,ALPH,,"Bottomless Pit (Preconstructed Deck)",,,,EL,0,,ALPH-0412,,
,Alpha,ALPH,,"Bridge Troll",,,,EX,W,,ALPH-0047,,
,Alpha,ALPH,,"Brobdingnag Bullfrog",,,,EX,W,,ALPH-0048,,
,Alpha,ALPH,,"Brobdingnag Bullfrog (Preconstructed Deck)",,,,EX,W,,ALPH-0413,,
,Alpha,ALPH,,Browse,,,,UN,A,,ALPH-0049,,
,Alpha,ALPH,,"Bull Demons of Adum",,,,EL,F,,ALPH-0050,,
,Alpha,ALPH,,"Bull Demons of Adum (Preconstructed Deck)",,,,EL,F,,ALPH-0414,,
,Alpha,ALPH,,"Buried Treasure",,,,EX,0,,ALPH-0051,,
,Alpha,ALPH,,"Burned/Engulfed (Box Topper)",,,,O,0,,ALPH-0536,,
,Alpha,ALPH,,Bury,,,,O,E,,ALPH-0052,,
,Alpha,ALPH,,"Bury (Preconstructed Deck)",,,,O,E,,ALPH-0415,,
,Alpha,ALPH,,"Call to War",,,,EX,E,,ALPH-0053,,
,Alpha,ALPH,,"Candlemas Monks",,,,EL,A,,ALPH-0054,,
,Alpha,ALPH,,"Captain Baldassare",,,,UN,W,,ALPH-0055,,
,Alpha,ALPH,,"Cauldron Crones",,,,O,F,,ALPH-0056,,
,Alpha,ALPH,,"Cave Trolls",,,,O,E,,ALPH-0058,,
,Alpha,ALPH,,"Cave Trolls (Preconstructed Deck)",,,,O,E,,ALPH-0416,,
,Alpha,ALPH,,Cave-In,,,,EX,E,,ALPH-0057,,
,Alpha,ALPH,,"Cerberus in Chains",,,,UN,F,,ALPH-0059,,
,Alpha,ALPH,,"Chain Lightning",,,,EX,A,,ALPH-0060,,
,Alpha,ALPH,,"Chain Lightning (Preconstructed Deck)",,,,EX,A,,ALPH-0417,,
,Alpha,ALPH,,"Chains of Prometheus",,,,EL,0,,ALPH-0061,,
,Alpha,ALPH,,"Chaos Twister",,,,EL,A,,ALPH-0062,,
,Alpha,ALPH,,"Clamor of Harpies",,,,EX,F,,ALPH-0063,,
,Alpha,ALPH,,"Clamor of Harpies (Preconstructed Deck)",,,,EX,F,,ALPH-0418,,
,Alpha,ALPH,,"Cloud City",,,,UN,A,,ALPH-0064,,
,Alpha,ALPH,,"Cloud City (Preconstructed Deck)",,,,UN,A,,ALPH-0419,,
,Alpha,ALPH,,"Cloud Spirit",,,,O,A,,ALPH-0065,,
,Alpha,ALPH,,"Cloud Spirit (Preconstructed Deck)",,,,O,A,,ALPH-0420,,
,Alpha,ALPH,,"Colicky Dragonettes",,,,EX,F,,ALPH-0066,,
,Alpha,ALPH,,"Colicky Dragonettes (Preconstructed Deck)",,,,EX,F,,ALPH-0421,,
,Alpha,ALPH,,"Common Sense",,,,O,E,,ALPH-0067,,
,Alpha,ALPH,,"Cone of Flame",,,,EX,F,,ALPH-0068,,
,Alpha,ALPH,,"Conqueror Worm",,,,EL,E,,ALPH-0069,,
,Alpha,ALPH,,"Coral-Reef Kelpie",,,,O,W,,ALPH-0070,,
,Alpha,ALPH,,"Coral-Reef Kelpie (Preconstructed Deck)",,,,O,W,,ALPH-0422,,
,Alpha,ALPH,,Cornerstone,,,,EX,0,,ALPH-0071,,
,Alpha,ALPH,,"Cornerstone (Preconstructed Deck)",,,,EX,0,,ALPH-0423,,
,Alpha,ALPH,,"Court Jester",,,,EL,W,,ALPH-0072,,
,Alpha,ALPH,,"Courtesan Thais",,,,UN,F,,ALPH-0073,,
,Alpha,ALPH,,Craterize,,,,EL,E,,ALPH-0074,,
,Alpha,ALPH,,"Craterize (Preconstructed Deck)",,,,EL,E,,ALPH-0424,,
,Alpha,ALPH,,"Crave Golem",,,,EX,0,,ALPH-0075,,
,Alpha,ALPH,,"Critical Strike",,,,O,F,,ALPH-0076,,
,Alpha,ALPH,,"Critical Strike (Box Topper)",,,,O,F,,ALPH-0537,,
,Alpha,ALPH,,Crossroads,,,,EL,0,,ALPH-0077,,
,Alpha,ALPH,,"Crown of the Victor",,,,UN,0,,ALPH-0079,,
,Alpha,ALPH,,"Crown Prince",,,,UN,E,,ALPH-0078,,
