"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,"Arthurian Legends",ARLE,,"13 Treasures of Britain",,,,UN,0,,ARLE-0001,,
,"Arthurian Legends",ARLE,,"A Midsummer Night's Dream",,,,UN,A,,ARLE-0002,,
,"Arthurian Legends",ARLE,,"Amulet of Niniane",,,,UN,0,,ARLE-0003,,
,"Arthurian Legends",ARLE,,"Annual Fair",,,,EX,0,,ARLE-0004,,
,"Arthurian Legends",ARLE,,"Arc Lightning",,,,O,A,,ARLE-0005,,
,"Arthurian Legends",ARLE,,"Arcane Barrage",,,,EL,A,,ARLE-0006,,
,"Arthurian Legends",ARLE,,Archimago,,,,EL,0,,ARLE-0007,,
,"Arthurian Legends",ARLE,,"Attack by Night",,,,EX,A,,ARLE-0008,,
,"Arthurian Legends",ARLE,,Avalon,,,,UN,0,,ARLE-0009,,
,"Arthurian Legends",ARLE,,"Babbling Brook",,,,EX,W,,ARLE-0010,,
,"Arthurian Legends",ARLE,,Bailey,,,,EX,0,,ARLE-0011,,
,"Arthurian Legends",ARLE,,"Ball Lightning",,,,EL,A,,ARLE-0012,,
,"Arthurian Legends",ARLE,,"Band of Thieves",,,,O,A,,ARLE-0013,,
,"Arthurian Legends",ARLE,,Beacon,,,,EX,A,,ARLE-0014,,
,"Arthurian Legends",ARLE,,"Black Knight",,,,EX,0,,ARLE-0015,,
,"Arthurian Legends",ARLE,,"Blacksmith Family",,,,O,F,,ARLE-0016,,
,"Arthurian Legends",ARLE,,"Blue Knight",,,,EX,0,,ARLE-0017,,
,"Arthurian Legends",ARLE,,"Bluecap Knockers",,,,EX,E,,ARLE-0018,,
,"Arthurian Legends",ARLE,,Blunderbore,,,,UN,F,,ARLE-0019,,
,"Arthurian Legends",ARLE,,Bog,,,,O,W,,ARLE-0020,,
,"Arthurian Legends",ARLE,,Bonfire,,,,O,F,,ARLE-0021,,
,"Arthurian Legends",ARLE,,Boudicca,,,,UN,F,,ARLE-0022,,
,"Arthurian Legends",ARLE,,"Bower of Bliss",,,,UN,0,,ARLE-0023,,
,"Arthurian Legends",ARLE,,"Briar Patch",,,,EX,E,,ARLE-0024,,
,"Arthurian Legends",ARLE,,Broceliande,,,,UN,0,,ARLE-0025,,
,"Arthurian Legends",ARLE,,"Brother Knight",,,,EL,F,,ARLE-0026,,
,"Arthurian Legends",ARLE,,"Brown Bears",,,,O,E,,ARLE-0027,,
,"Arthurian Legends",ARLE,,"Bruin (Box Topper)",,,,UN,0,,ARLE-0221,,
