"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,Beta,BETA,,Abundance,,,,EL,W,,BETA-0001,,
,Beta,BETA,,"Accursed Albatross",,,,EX,W,,BETA-0002,,
,Beta,BETA,,"Adept Illusionist",,,,EL,W,,BETA-0003,,
,Beta,BETA,,"Albespine Pikemen",,,,EX,E,,BETA-0004,,
,Beta,BETA,,"All-terrain Vestments",,,,EL,0,,BETA-0005,,
,Beta,BETA,,"Alvalinne Dryads",,,,O,E,,BETA-0006,,
,Beta,BETA,,"Amazon Warriors",,,,O,E,,BETA-0007,,
,Beta,BETA,,"Amethyst Core",,,,UN,0,,BETA-0008,,
,Beta,BETA,,"Ancient Dragon",,,,EL,F,,BETA-0009,,
,Beta,BETA,,"Angel's Egg",,,,EL,0,,BETA-0010,,
,Beta,BETA,,"Anui Undine",,,,EX,W,,BETA-0011,,
,Beta,BETA,,"Apprentice Wizard",,,,O,A,,BETA-0012,,
,Beta,BETA,,"Aquamarine Core",,,,UN,0,,BETA-0013,,
,Beta,BETA,,Aqueduct,,,,EX,0,,BETA-0014,,
,Beta,BETA,,"Aramos Mercenaries",,,,O,F,,BETA-0015,,
,Beta,BETA,,"Arid Desert",,,,O,F,,BETA-0016,,
,Beta,BETA,,"Askelon Phoenix",,,,EL,F,,BETA-0017,,
,Beta,BETA,,"Assorted Animals",,,,EL,E,,BETA-0018,,
,Beta,BETA,,"Astral Alcazar",,,,EL,0,,BETA-0019,,
,Beta,BETA,,"Atlantean Fate",,,,UN,W,,BETA-0020,,
,Beta,BETA,,"Atlas Wanderers",,,,EL,E,,BETA-0021,,
,Beta,BETA,,"Autumn River",,,,O,W,,BETA-0022,,
,Beta,BETA,,"Autumn Unicorn",,,,EX,E,,BETA-0023,,
,Beta,BETA,,"Awakened Mummies",,,,EX,F,,BETA-0024,,
,Beta,BETA,,"Azuridge Caravan",,,,O,F,,BETA-0025,,
,Beta,BETA,,Backstab,,,,EX,F,,BETA-0026,,
,Beta,BETA,,"Bane Widow",,,,EX,F,,BETA-0027,,
,Beta,BETA,,"Battering Ram",,,,EX,0,,BETA-0028,,
,Beta,BETA,,Battlefield,,,,EL,0,,BETA-0029,,
,Beta,BETA,,Battlemage,,,,EL,0,,BETA-0030,,
,Beta,BETA,,"Beast of Burden",,,,O,F,,BETA-0031,,
,Beta,BETA,,Bedrock,,,,EX,E,,BETA-0032,,
,Beta,BETA,,Belfry,,,,EL,0,,BETA-0033,,
,Beta,BETA,,"Belmotte Longbowmen",,,,O,E,,BETA-0034,,
,Beta,BETA,,"Black Obelisk",,,,EL,0,,BETA-0035,,
,Beta,BETA,,"Blasted Oak",,,,UN,0,,BETA-0036,,
,Beta,BETA,,Blaze,,,,EX,F,,BETA-0037,,
,Beta,BETA,,Blink,,,,O,A,,BETA-0038,,
,Beta,BETA,,Blizzard,,,,O,W,,BETA-0039,,
,Beta,BETA,,"Blood Ravens",,,,O,A,,BETA-0040,,
,Beta,BETA,,Boil,,,,O,F,,BETA-0041,,
,Beta,BETA,,"Bone Rabble",,,,O,E,,BETA-0042,,
,Beta,BETA,,"Bone Rabble (Store Alternate Art Promo)",,,,P,0,,BETA-0403,,
,Beta,BETA,,Boneyard,,,,UN,0,,BETA-0043,,
,Beta,BETA,,"Border Militia",,,,O,E,,BETA-0044,,
,Beta,BETA,,"Bosk Troll",,,,O,E,,BETA-0045,,
,Beta,BETA,,"Bottomless Pit",,,,EL,0,,BETA-0046,,
,Beta,BETA,,"Bridge Troll",,,,EX,W,,BETA-0047,,
