"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,Dragonlord,DRAG,,Adtonitum,,,,UN,A,,DRAG-0001,,
,Dragonlord,DRAG,,Caelestis,,,,UN,0,,DRAG-0002,,
,Dragonlord,DRAG,,"Cradle of Etherrum",,,,EX,0,,DRAG-0003,,
,Dragonlord,DRAG,,"Draco Corvus",,,,UN,0,,DRAG-0004,,
,Dragonlord,DRAG,,Dragonlord,,,,UN,0,,DRAG-0005,,
,Dragonlord,DRAG,,"Dragonlord's Lair",,,,UN,0,,DRAG-0006,,
,Dragonlord,DRAG,,"Ignis Rex",,,,UN,F,,DRAG-0007,,
,Dragonlord,DRAG,,"Kairos the Archivist",,,,UN,0,,DRAG-0008,,
,Dragonlord,DRAG,,"Moonsong Talagelum",,,,UN,0,,DRAG-0009,,
,Dragonlord,DRAG,,"Shrine of the Dragonlord",,,,UN,0,,DRAG-0010,,
,Dragonlord,DRAG,,"Talamh Dreig",,,,UN,E,,DRAG-0011,,
,Dragonlord,DRAG,,"Vatn Draconis",,,,UN,W,,DRAG-0012,,
,Dragonlord,DRAG,,"Xeraphine Konrul",,,,UN,0,,DRAG-0013,,
