"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,"Dust Reward Promos",DRPR,,"Cloud City",,,,UN,A,,DRPR-0001,,
,"Dust Reward Promos",DRPR,,"Fields of Phyxis",,,,EX,0,,DRPR-0010,,
,"Dust Reward Promos",DRPR,,"Foot Soldier (Forest)",,,,O,0,,DRPR-0002,,
,"Dust Reward Promos",DRPR,,"Foot Soldier (Mountain)",,,,O,0,,DRPR-0003,,
,"Dust Reward Promos",DRPR,,"Foot Soldier (River)",,,,O,0,,DRPR-0004,,
,"Dust Reward Promos",DRPR,,Harbinger,,,,O,0,,DRPR-0011,,
,"Dust Reward Promos",DRPR,,Haystack,,,,EX,0,,DRPR-0012,,
,"Dust Reward Promos",DRPR,,"King Arthur",,,,UN,0,,DRPR-0013,,
,"Dust Reward Promos",DRPR,,Necromancer,,,,O,0,,DRPR-0014,,
,"Dust Reward Promos",DRPR,,Persecutor,,,,None,0,,DRPR-0015,,
,"Dust Reward Promos",DRPR,,"Pudge Butcher",,,,EX,E,,DRPR-0005,,
,"Dust Reward Promos",DRPR,,Rubble,,,,O,0,,DRPR-0006,,
,"Dust Reward Promos",DRPR,,"Skeleton (Alpha Investment Promo)",,,,O,0,,DRPR-0016,,
,"Dust Reward Promos",DRPR,,Sorcerer,,,,O,0,,DRPR-0007,,
,"Dust Reward Promos",DRPR,,Spire,,,,O,0,,DRPR-0017,,
,"Dust Reward Promos",DRPR,,"The Colour Out of Space",,,,UN,0,,DRPR-0008,,
,"Dust Reward Promos",DRPR,,Valley,,,,O,0,,DRPR-0018,,
,"Dust Reward Promos",DRPR,,Wasteland,,,,O,0,,DRPR-0019,,
,"Dust Reward Promos",DRPR,,"Waypoint Portal",,,,EX,A,,DRPR-0009,,
