"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,Gothic,GOTH,,"Aaj-kegon Ghost Crabs",,,,EL,W,,GOTH-0001,,
,Gothic,GOTH,,"Abaddon Succubus",,,,EL,W,,GOTH-0002,,
,Gothic,GOTH,,"Abyssal Assault",,,,EX,W,,GOTH-0003,,
,Gothic,GOTH,,"Accursed Desert",,,,O,0,,GOTH-0004,,
,Gothic,GOTH,,"Accursed Tower",,,,O,0,,GOTH-0005,,
,Gothic,GOTH,,Accusation,,,,EX,F,,GOTH-0006,,
,Gothic,GOTH,,"Acid Rain",,,,EL,W,,GOTH-0007,,
,Gothic,GOTH,,"Active Volcano",,,,EX,0,,GOTH-0008,,
,Gothic,GOTH,,Aethermoeba,,,,EL,A,,GOTH-0009,,
,Gothic,GOTH,,Aino,,,,UN,W,,GOTH-0010,,
,Gothic,GOTH,,"Alabaster Box",,,,EL,0,,GOTH-0011,,
,Gothic,GOTH,,"Algae Bloom",,,,O,0,,GOTH-0012,,
,Gothic,GOTH,,"Algor Omphalos",,,,UN,0,,GOTH-0013,,
,Gothic,GOTH,,"All Mortals Gone",,,,UN,A,,GOTH-0014,,
,Gothic,GOTH,,"Altar of Malachai",,,,UN,0,,GOTH-0015,,
,Gothic,GOTH,,"Angel Ascendant",,,,EL,E,,GOTH-0016,,
,Gothic,GOTH,,"Angry Mob",,,,O,0,,GOTH-0017,,
,Gothic,GOTH,,Animist,,,,None,0,,GOTH-0018,,
,Gothic,GOTH,,"Apostles of Thamariel",,,,UN,E,,GOTH-0019,,
,Gothic,GOTH,,"Apply Alkahest",,,,EL,0,,GOTH-0020,,
,Gothic,GOTH,,"Arcade of Bones",,,,EL,0,,GOTH-0021,,
,Gothic,GOTH,,"Archangel Gabriel",,,,UN,A,,GOTH-0022,,
,Gothic,GOTH,,"Archangel Michael",,,,UN,E,,GOTH-0023,,
,Gothic,GOTH,,"Archangel Raphael",,,,UN,W,,GOTH-0024,,
,Gothic,GOTH,,"Archangel Samael",,,,UN,F,,GOTH-0025,,
,Gothic,GOTH,,"Arjaro Exorcist",,,,EL,E,,GOTH-0026,,
,Gothic,GOTH,,Armageddon,,,,UN,0,,GOTH-0027,,
,Gothic,GOTH,,"Army of the Dead",,,,UN,E,,GOTH-0028,,
,Gothic,GOTH,,Asmodeus,,,,UN,F,,GOTH-0029,,
,Gothic,GOTH,,"Assimilator Snail",,,,EL,W,,GOTH-0030,,
,Gothic,GOTH,,"Autumn Bloom",,,,O,0,,GOTH-0031,,
,Gothic,GOTH,,"Avenging Angel",,,,EX,A,,GOTH-0032,,
,Gothic,GOTH,,"Baba Yaga's Hut",,,,UN,0,,GOTH-0033,,
,Gothic,GOTH,,"Balor of the Evil Eye",,,,UN,F,,GOTH-0034,,
,Gothic,GOTH,,"Bane of Aventis",,,,UN,A,,GOTH-0035,,
,Gothic,GOTH,,Baptize,,,,O,W,,GOTH-0036,,
,Gothic,GOTH,,"Barging Barghest",,,,EX,F,,GOTH-0037,,
,Gothic,GOTH,,"Barrow Wight",,,,O,E,,GOTH-0038,,
,Gothic,GOTH,,Begone!,,,,EX,F,,GOTH-0039,,
,Gothic,GOTH,,Betrayal,,,,EL,F,,GOTH-0040,,
,Gothic,GOTH,,"Bind Evil",,,,EX,E,,GOTH-0041,,
,Gothic,GOTH,,Bitten,,,,EX,E,,GOTH-0042,,
,Gothic,GOTH,,"Bitter Departed",,,,EX,A,,GOTH-0043,,
,Gothic,GOTH,,"Black Cat",,,,EL,A,,GOTH-0044,,
,Gothic,GOTH,,"Black Mass",,,,UN,A,,GOTH-0045,,
,Gothic,GOTH,,Bladderblimp,,,,EX,A,,GOTH-0046,,
,Gothic,GOTH,,"Blade of Thorns",,,,EL,0,,GOTH-0047,,
,Gothic,GOTH,,Bladedancer,,,,None,0,,GOTH-0048,,
,Gothic,GOTH,,Blasphemy,,,,UN,0,,GOTH-0049,,
